"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000002","F27C8.1","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-1 is an ortholog of human SLC7A5 (solute carrier family 7 member 5) and SLC7A8 (solute carrier family 7 member 8)\; contributes to L-amino acid transmembrane transporter activity\; is involved in amino acid transmembrane transport\; localizes to the amino acid transport complex\; is expressed in several tissues, including the alimentary system, the excretory system, the nervous system, the reproductive system, and the tail\; human orthologs of this gene are implicated in lysinuric protein intolerance."
"2","WBGene00000031","C03A7.14","Unassigned","Unassigned","Unassigned","abu-8 is involved in pharynx development."
"3","WBGene00000033","F35A5.3","Stress response","Stress response: ER","Stress response: ER","abu-10 is involved in endoplasmic reticulum unfolded protein response."
"4","WBGene00000039","C42D8.5","Development","Development: somatic","Development: somatic","acn-1 is an ortholog of human ACE2\; is predicted to have metallopeptidase activity and peptidyl-dipeptidase activity\; is involved in ecdysis, collagen and cuticulin-based cuticle, nematode male tail tip morphogenesis, and plasma membrane fusion\; is expressed in the epithelial system, the excretory gland cell, the male, and the vulva\; human orthologs of this gene are implicated in Alzheimer's disease."
"5","WBGene00000061","F48E3.7","Transmembrane transport","Transmembrane transport: extracellular ligand gated channel","Transmembrane transport: extracellular ligand gated channel","lgc-11 is an ortholog of human HTR3A (5-hydroxytryptamine receptor 3A), ZACN (zinc activated ion channel), and CHRFAM7A and members of the human CHRN (Cholinergic receptors nicotinic subunits) gene family including CHRNA9, CHRNA7, and CHRNA10\; is predicted to have extracellular ligand-gated ion channel activity and transmembrane signaling receptor activity."
"6","WBGene00000133","C05E11.4","Transmembrane transport","Transmembrane transport: ammonium","Transmembrane transport: ammonium","amt-1 is predicted to have ammonium transmembrane transporter activity."
"7","WBGene00000252","F59E12.12","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","bli-2 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of collagen and cuticulin-based cuticle\; is involved in collagen and cuticulin-based cuticle development."
"8","WBGene00000256","Y73B6BL.34","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","bli-6 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"9","WBGene00000493","F56H1.1","Transmembrane transport","Transmembrane transport: unassigned","Transmembrane transport: unassigned","che-14 is an ortholog of human DISP1 and DISP2\; localizes to the apical plasma membrane\; is expressed in the epithelial cell, the epithelial system, the excretory system, the rectum, and the vulva."
"10","WBGene00000512","B0285.9","Metabolism","Metabolism: lipid","Metabolism: lipid: phospholipid","ckb-2 is an ortholog of human CHKA and CHKB\; exhibits choline kinase activity\; is involved in CDP-choline pathway\; is expressed in several tissues, including the alimentary system, the excretory gland cell, the head, the hmc, and the reproductive system\; human orthologs of this gene are implicated in megaconial type congenital muscular dystrophy."
